leaf_code,category_path,l1
01.003.002.003,劳保 / 呼吸防护 / 呼吸器 / 逃生急救呼吸器,劳保
01.003.002.004,劳保 / 呼吸防护 / 呼吸器 / 自给式空气呼吸器,劳保
01.003.002.005,劳保 / 呼吸防护 / 呼吸器 / 电动送风过滤式呼吸器,劳保
01.003.003.001,劳保 / 呼吸防护 / 呼吸面具 / 全面具,劳保
01.003.003.002,劳保 / 呼吸防护 / 呼吸面具 / 半面具,劳保
01.003.003.003,劳保 / 呼吸防护 / 呼吸面具 / 呼吸面具滤材,劳保
01.003.003.004,劳保 / 呼吸防护 / 呼吸面具 / 呼吸面具套装,劳保
01.003.003.005,劳保 / 呼吸防护 / 呼吸面具 / 呼吸面具配件,劳保
01.003.003.006,劳保 / 呼吸防护 / 呼吸面具 / 阻燃服,劳保
01.003.003.007,劳保 / 呼吸防护 / 呼吸面具 / POLO衫,劳保
01.003.003.008,劳保 / 呼吸防护 / 呼吸面具 / 夏季工装,劳保
01.003.003.009,劳保 / 呼吸防护 / 呼吸面具 / 衬衫,劳保
01.003.003.010,劳保 / 呼吸防护 / 呼吸面具 / T恤,劳保
01.003.003.011,劳保 / 呼吸防护 / 呼吸面具 / 牛仔工装,劳保
01.003.003.012,劳保 / 呼吸防护 / 呼吸面具 / 春秋工装,劳保
01.003.003.013,劳保 / 呼吸防护 / 呼吸面具 / 冬季工装,劳保
01.003.003.014,劳保 / 呼吸防护 / 呼吸面具 / 裤子,劳保
01.003.003.015,劳保 / 呼吸防护 / 呼吸面具 / 白大褂,劳保
01.003.003.016,劳保 / 呼吸防护 / 呼吸面具 / 耐酸碱服,劳保
01.003.004.001,劳保 / 呼吸防护 / 其它身体防护 / 围裙,劳保
01.003.004.002,劳保 / 呼吸防护 / 其它身体防护 / 皮带,劳保
01.003.004.003,劳保 / 呼吸防护 / 其它身体防护 / 披肩,劳保
01.003.004.004,劳保 / 呼吸防护 / 其它身体防护 / 套袖,劳保
01.003.004.005,劳保 / 呼吸防护 / 其它身体防护 / 焊接防护辅件,劳保
